Title,Article,Incident Name
Man Charged In Killings Evaded Strict Gun Laws,"If the man accused of killing seven people near Boston on Tuesday got his guns in Massachusetts, he was able to skirt some of the strictest regulations in the country, people familiar with the state's laws said today.

Investigators said today that the suspect, Michael McDermott, did not have a permit for any of the four weapons he took to work. Without the permits, he was breaking Massachusetts law just by having the weapons.

The state requires a permit, formally known as a ''firearm identification card,'' for purchase of virtually every kind of firearm, whether for personal protection or hunting. An additional permit, which may specify restrictions, is needed to carry a concealed weapon.

Identification cards are issued by the local police and may take up to 30 days to obtain while an applicant's background is checked. Even if a background check turns up no convictions for serious crimes, the police have considerable discretion on whether to issue cards. A serious crime would make it all but impossible for an applicant to get a card.

Advertisement Continue reading the main story

While investigators said they did not yet know where the Massachusetts-born suspect got his guns, Scott Harshbarger, the former state attorney general who pushed for more stringent state gun-control rules in the late 1990's, said, ''This is where you'll see if the tracing system works.''",Edgewater Techology
7 Die in Rampage at Company; Co-Worker of Victims Arrested,"''There were receptionists, for God's sake!'' he said.

Mr. Stanley described Mr. McDermott as 6-foot-2, over 300 pounds and ''with a big huge beard.'' He said that Mr. McDermott, who was nicknamed Mucko, seemed amiable, but that he had also seemed peculiar, ''a bit of spaceshot,'' who worked well when he worked but had repeatedly come in late. ''He gave the impression he was a bit strange, that's all,'' Mr. Stanley said, but added he had never appeared threatening.

The shooting was the worst rampage in an American workplace since Nov. 2, 1999, when Brian Uyesugi, a 40-year-old copier repairman, shot seven people dead at the Xerox Corporation in Honolulu. He is serving a life sentence. Just over three months earlier, a 44-year-old former day trader named Mark Barton killed nine people in brokerage offices in Atlanta. He subsequently committed suicide.

Ms. Coakley said tonight that it was not clear what had made Mr. McDermott stop shooting and sit passively until the police arrived.

She said that full details on the victims were not yet available, but that they were four women and three men: Janis Hagerty, Cheryl Troy, Louis Javelle, Craig Wood, Jennifer Bragg Capobianco, Rose Manfredi and Paul Marceau, as identified and spelled by the district attorney's office. One victim, Ms. Troy, was identified on the company's Web site as its vice president for human resources.

All were at their work stations today when the shooting began, Ms. Coakley said, and as best as can be determined after about 60 interviews with witnesses and other employees, Mr. McDermott came to work this morning at around 9, had some conversations with his co-workers, and only at about 11 did he take up the semiautomatic rifle and shotgun he used, along with a semiautomatic handgun that he apparently did not use. The shooting itself lasted no more than 5 or 10 minutes, Ms. Coakley said.

The police are still investigating how Mr. McDermott obtained the weapons, Ms. Coakley said. Mr. McDermott had been working at Edgewater about a year, she said, and had apparently been told that he could have a grace period on the garnisheeing of his wages until after the holidays; thus, she said, the fact that today was the day after Christmas could have been what set him off.

The authorities said Mr. McDermott lived in Haverhill, Mass. Marjorie Richardson, one of Mr. McDermott's neighbors, said he had only been living in the neighborhood for a couple of months and did not seem to have settled in yet.

Advertisement Continue reading the main story

''He wasn't here very long,'' she said. ''He just said hello and goodbye.''

Today's shooting struck at what is normally a very stable Internet company, which has about 150 employees in Wakefield, a town of about 25,000 people 10 miles north of Boston. Edgewater has been consistently profitable since 1994, and it is still growing, officials say. In April 1999, an Arkansas-based company in the business of providing temporary workers, StaffMark Inc., bought Edgewater for an undisclosed sum. The merger created a company with 2,000 employees and $1.2 billion in sales.

Through the modern windows set in the 19th-century brick of a refurbished mill complex called Harvard Mills, Edgewater's Wakefield office looked today like thousands of other Internet companies: a warren of cubicles mixed with the occasional windowed office or conference room; bottles of spring water and Diet Coke scattered about; white boards and ergonomically correct chairs.

But it conveyed the eerie sense of having been abandoned in great haste. A laptop sat half-opened on one desk; on another desk lay some headphones, as if torn off when it became clear something was terribly wrong.

Mr. Stanley and another employee, Nancy Pecjo, said Edgewater was normally a wonderful place to work. Its style was extremely relaxed, Mr. Stanley said, though there was also a high level of stress for those who worked hard. The company also has offices in Minnesota, New Hampshire, Alabama and Arkansas.

The company's chief executive, Shirley Singleton, issued a statement tonight saying: ''Everyone at Edgewater Technology is shocked and devastated by the loss of our friends. We extend our deepest sympathies to the victims' families at this tragic time.'' The company will be closed for the rest of the week, Ms. Coakley said.

Mr. McDermott was scheduled to be arraigned on Wednesday, and Ms. Coakley said he would be charged with seven counts of murder. She said he did not appear to have permits for any of the weapons. His lawyer spoke with him tonight but then declined to talk with reporters.

Newsletter Sign Up Continue reading the main story Please verify you're not a robot by clicking the box. Invalid email address. Please re-enter. You must select a newsletter to subscribe to. Sign Up You agree to receive occasional updates and special offers for The New York Times's products and services. Thank you for subscribing. An error has occurred. Please try again later. View all New York Times newsletters.

One victim, Ms. Hagerty, had just moved to her suburban residence at in Stoneham, Mass., about a year and a half ago, said Jim Keegan, a man who lived across the street from her.

Mr. Keegan said the neighborhood was only a few miles away from Ms. Hagerty's workplace. He said he had only spoken with Ms. Hagerty twice since she moved in and rarely saw her.

''She seemed to be very much a pleasant person, very bubbly and outgoing,'' said Mr. Keegan, who last saw Ms. Hagerty about two or three months ago.

Advertisement Continue reading the main story

Several neighbors near where Mr. McDermott lived, in an apartment in a Victorian house in nearby Haverhill, said they did not know him well, because he had moved in only recently, and could cast little light onto his character.

Ms. Coakley said Mr. McDermott did not appear to have an arrest record.

Co-workers and the authorities said they believed, but were not sure, that Mr. McDermott lived alone and was single.

UPDATE

Other Fatal Shootings of Employees at Workplaces in the United States Since 1995

Major workplace shootings before the killing of seven people yesterday at Edgewater Technology Inc. in Wakefield, Mass., include these:

MARCH 20, 2000: Five people are killed at a carwash in Irving, Tex. Robert Harris, who had been fired from his job at the carwash, is convicted of murder and sentenced to death.

DEC. 30, 1999: Five workers are killed at the Radisson Bay Harbor hotel in Tampa, Fla. A co-worker, Silvio Izquierdo Leyva, 36, is charged and has pleaded not guilty. His trial is pending.

NOV. 2, 1999: Seven people are killed at a Xerox Corporation office in Honolulu. Bryan Uyesugi, 40, is convicted of murder and sentenced to life in prison.

AUG. 5, 1999: Two workers are killed at Ferguson Enterprises in Pelham, Ala., and a third is killed at Post Airgas Inc. several miles away. Alan E. Miller, a truck driver, is convicted in the killings and sentenced to death.

JULY 29, 1999: A former day trader, Mark Barton, 44, kills nine people at two Atlanta brokerage offices and then commits suicide.

MARCH 6, 1998: A former accountant for the Connecticut Lottery Corporation, Matthew Beck, 35, shoots four lottery executives to death in Newington and then commits suicide.

Advertisement Continue reading the main story

DEC. 18, 1997: A fired employee, Arturo R. Torres, 43, kills four former co-workers at a maintenance yard in Orange, Calif., and is then shot to death by the police.

SEPT. 15, 1997: Four workers are killed at a parts plant in Aiken, S.C. A fired assembly-line worker, Arthur H. Wise, 43, is charged, and a trial is pending.

APRIL 24, 1996: Four Fire Department officials are killed at a firehouse in Jackson, Miss. A colleague, Kenneth Tornes, 32, is convicted of murder and dies of a blood clot on death row.

APRIL 3, 1995: A former employee, James Simpson, 28, kills five people at a refinery inspection station in Corpus Christi, Tex., and then commits suicide.

JULY 19, 1995: Four supervisors are killed at the C. Erwin Piper Technical Center in Los Angeles. Willie Woods, an electrician for the city, is convicted of murder and sentenced to life in prison.

(SOURCE: ASSOCIATED PRESS)",Edgewater Techology
NaN,NaN,Appalachian School of Law
Gunman's Life Came Undone In Years Before the Shootings,"Mr. Baker's lawyer, Charles K. Piet, said he saw nothing in his client's reaction to the criminal case that would have hinted at the violence within him.

''He was obviously concerned about the case and his involvement, but he never felt he was the victim,'' Mr. Piet said. ''I think he was very accepting of his responsibility for his involvement in the case.''

Both Mr. Piet and Assistant United States Attorney William Hogan Jr., who investigated the theft ring in 1994, said Mr. Baker seemed like a normal person who made a mistake.

Others who knew Mr. Baker had sharply differing opinions.

John Harris, a 45-year employee at the plant, said Mr. Baker could be intimidating.

''He's always been a bully,'' Mr. Harris told The Associated Press. ''He always wanted his way.''

Julia Deem, 32, who lived next door to Mr. Baker and Doreen Baker, who was then his wife, said Mr. Baker was confrontational and aggressive.

But others who lived near the Bakers in this suburb west of Chicago described him as a quiet man.

''What we knew of him, we knew through his children,'' said Janet Koehring, 42, a longtime resident. ''My kids play with his kids.''

Newsletter Sign Up Continue reading the main story Please verify you're not a robot by clicking the box. Invalid email address. Please re-enter. You must select a newsletter to subscribe to. Sign Up You agree to receive occasional updates and special offers for The New York Times's products and services. Thank you for subscribing. An error has occurred. Please try again later. View all New York Times newsletters.

Although Ms. Koehring said she did not know Mr. Baker well, the two would exchange a wave when they saw each other or would talk when their children were together.

''I would have never guessed,'' she said of her former neighbor. ''He always seemed to be a nice retired man.''

Advertisement Continue reading the main story

Mr. Baker, whose divorce from Doreen Baker was finalized last year, has a son, Billy, who is in the custody of his former wife. Neighbors near Mr. Baker's Carol Stream home, where he moved after his divorce, said he frequently spent time with his son on the weekends.

Emily Janikowski, 25, met Mr. Baker while organizing block parties for their neighborhood last year and described him as withdrawn.

''Obviously, what he did was entirely horrible,'' Ms. Janikowski said, ''but I would never say he was a bad guy. He never made anyone in the neighborhood feel uncomfortable.''

This afternoon Alcohol, Tobacco, and Firearms authorities issued a report to Melrose Park police saying that only two of the four guns had been traced. The two guns used in the shootings, a .38-caliber snub-nosed revolver and an assault rifle, are still being traced, they said.

The two unused guns that were found in Mr. Baker's golf bag at the factory, a Remington shotgun and a hunting rifle, were traced to a purchase by Mr. Baker in 1993 in a store in Glen Ellyn, a neighboring suburb.

Chief Vito R. Scavo of the Melrose Park police said Mr. Baker should have turned over the firearms after his felony arrest in 1995. Chief Scavo said Mr. Baker still had a valid firearm owners identification card.

Correction: February 8, 2001, Thursday An article yesterday about Willie Dan Baker, the former employee who went on a shooting rampage on Monday at the Navistar engine factory in Melrose Park, Ill., misstated the number of those he shot before killing himself. Four, not three, were killed; four others, not three, were wounded.",Navister International
Ex-Worker Opens Fire at Illinois Plant; 5 Are Killed,"When the security guard refused Mr. Baker entry and told him she would have the friend come and meet him outside the building, Mr. Baker brandished a .38-caliber snub-nosed revolver and forced the security guard to let him in the building.

Inside, Mr. Baker made a sharp left turn into a large open engineering machine shop and ''went up one lane and down another'' shooting, Mr. Scavo said.

Armed with an AK-47 rifle, a shotgun, a hunting rifle and the revolver, Mr. Baker walked the equivalent of a block or two in the machine shop and shot seven people, killing three of them, Mr. Scavo said. Then he entered an office in the corner of the engineering section, where he fatally shot another employee and killed himself.

Mr. Scavo said the police were still trying to determine whether Mr. Baker knew any of his victims or intended to kill them, but he said the victims, all men, appeared to be chosen randomly.

As far as the police know, Mr. Baker did not say anything during the shooting and he did not leave a note.

Mr. Scavo said the police were trying to determine if Mr. Baker's guns were legally obtained.

''I heard the guns going off,'' said Robert Jones, a fuel systems engineer who was an aisle away from the shooting. ''It didn't sound like an engine noise. I just heard three gunshots and thought, 'I got to get out of here.' ''

Newsletter Sign Up Continue reading the main story Please verify you're not a robot by clicking the box. Invalid email address. Please re-enter. You must select a newsletter to subscribe to. Sign Up You agree to receive occasional updates and special offers for The New York Times's products and services. Thank you for subscribing. An error has occurred. Please try again later. View all New York Times newsletters.

Mr. Jones, a 32-year veteran at the plant, said he had known Mr. Baker for 15 years when he worked at Nav istar. ''All I know is that Bill was an easygoing guy,'' Mr. Jones said.

Mr. Baker worked at Navistar from 1955 to 1995, Mr. Scavo said. He was fired in June 1995 amid accusations that he was stealing parts from the factory.

Advertisement Continue reading the main story

Also in 1995, Mr. Baker was charged in Carol Stream, a suburb west of Melrose Park, with criminal sexual assault in an unrelated incident involving a family member who was under the age of 18, said Jim Linane, deputy police chief in Carol Stream.

Mr. Baker was convicted on that charge in 1998. He was sentenced to home confinement, but the police were not immediately able to say how long his sentence was.

Last year, Mr. Baker, who lived in West Chicago, an adjacent suburb, registered as a convicted sex offender with Carol Stream's police department.

Navistar International is the country's second-largest manufacturer of heavy-duty trucks. It also produces school buses and diesel engines, which it sells to other truck manufacturers. The factory in Melrose Park, an industrial suburb about 18 miles west of downtown Chicago, employs 1,200 to 1,800 people on any given day, said a spokesman, Bob Carso. Mr. Scavo did not know how many people were in the plant today, but he said, ''It was a full house, I can tell you that.''

Mr. Scavo said the police were at the plant within 38 seconds after they were called and began evacuating all the employees.

Those killed were Daniel Dorsch, 52, a supervisor in the engine laboratory section of the plant, Robert E. Wehrheim, 47, a technician, and two others whom police and Navistar officials declined to identify because their families had not yet been notified.

Two of the men who were wounded, Carl Swanson, 45, and Mujtaba Aidross, 24, both technicians, were in critical condition tonight. The other two, Bryan Snyder, 25, an engineer, and Matt Kush, 22, a technician, were treated and released.

Mr. Scavo and the Melrose Park mayor, Ron Serpico, said that given the sprawling size of the plant, two million square feet, and the number of employees, they were grateful that more people had not been harmed.",Navister International
"Young Suspect's Mother Asks, 'Oh, God. Why?'","She spoke calmly and gave terse replies to a reporter's questions about her son, saying she had talked just briefly today with the boy's father, from whom she is divorced, and had heard only that there had been a shooting at Santana High School.

Linda Wells is the mother of Charles Andrew Williams, known as Andy, and she was contacted today at her home in North Augusta, S.C. She was well into a telephone conversation when she paused and asked, incredulous, ''Wait, is he the shooter?''

Told that the police believed that her son had fired the shots at the high school, Ms. Wells burst into sobs.

''Oh, God, those other parents,'' she said. ''Oh, God. Why?''

Andy, Ms. Wells said, is a normal, good-natured teenager who has lived with his father since the couple's divorce about 10 years ago. She said she last saw him when he spent two weeks with her over Christmas. She has an older son, Michael, who lives in Atlanta, and he also came to visit then.

Advertisement Continue reading the main story

''They just hung around the house, played video games, watched TV, went to the movies,'' she said.

She added that she spoke with Andy by telephone earlier this year and that he seemed normal.",Santana High School
Guns in Young Hands,"The school shooting in suburban San Diego yesterday that killed 2 students and wounded 13 students and adults was clearly the worst since the Columbine High School massacre in April 1999. But there have been others. Last February, for example, a first grader in Michigan killed a 6-year-old classmate, and in May a 13-year-old in Florida killed a teacher. The episode also follows a disturbing sequence of near-disasters that have been averted because students kept their eyes and ears open and summoned up the courage to alert police to the possibility of a shooting. Sadly enough, there appear to have been warning signs in the San Diego case that were not taken seriously.

Both President Bush and Gov. Gray Davis of California expressed dismay over yesterday's incident, and Mr. Bush called the episode a ''disgraceful act of cowardice.'' Such expressions of regret are a natural response to something as inexplicable as an outbreak of gunfire in a high school corridor. School shootings are not a problem that can be solved with a snap of the fingers. There is no certain antidote to this kind of violence, no easy way to predict its occurrence, no magic cure for the pathologies that make it possible in the first place.

But even if one grants these difficulties, the shooting at Santana High School in Santee, Calif., should be the occasion for a fresh and urgent look at the whole subject of school violence and gun control, particularly among young people. There is a new team at the White House and in the Justice and Education Departments, and while Mr. Bush had a weak record on gun control as governor of Texas, he cannot as president ignore a matter of national concern that will inevitably deepen in the days ahead.

Previous school shootings have resulted in federal responses. In June 1998, after a high school incident in Springfield, Ore., President Clinton directed the Justice and Education Departments to develop an ''early warning guide''to help adults identify and reach out to troubled children at an early stage, before they resort to gunfire. A month after Columbine, Mr. Clinton convened a White House conference on youth violence. Mr. Bush might consider doing something along those lines.

The president should also direct his senior cabinet officers to examine the effectiveness of two programs that acquired fresh energy after the Columbine shooting. These are the Education Department's Safe and Drug Free Schools program and the Secret Service's Safe Schools Initiative, both of which have helped school districts detect potential problems of student violence in advance.

Finally, Mr. Bush must rethink his passive views on gun control. There are 190 million firearms floating around this country, including 65 million handguns, and too many of them are winding up in the hands of disturbed teenagers. After Columbine, Mr. Clinton resubmitted legislation aimed at getting guns out of the hands of young people, in part by holding adults criminally liable when juveniles obtain weapons of theirs and use them in crimes. But the initiative died. Mr. Bush will find that only determined presidential leadership can move a Congress that remains in thrall to the gun lobby.",Santana High School
Shooting at School Leaves 2 Dead and 13 Hurt,"Witnesses described pandemonium and panic as the 1,900 students of Santana High School in this bedroom community of 58,000 people about 20 miles northeast of downtown San Diego fled the campus after the shootings shortly before 9:30 a.m. Within minutes, sheriff's deputies and police officers, including an off-duty officer who was registering his daughter at the school, were on the scene and cornered the suspect in the bathroom.

The dead students were identified as Brian Zuckor, 14, and Randy Gordon, 17.

A school security guard and a student teacher were among the wounded. Another youth who witnessed the shooting was treated for injuries he received in a car accident as he fled the scene.

Friends and fellow students painted a sketchy, and divergent, portrait of the accused gunman, whom they also identified as Mr. Williams. Some described the young man, who is known as Andy, as an outsider who was mocked as a nerd, but others said he was sunny and well liked. Several said that he had joked as recently as the weekend about taking a gun to school, that he had insisted that he was only kidding and that no one took him seriously.

At least one student, a 14-year-old, said he and his friends patted the boy down before the incident but failed to find the gun in his backpack.

Shannon Durrett, 15, was in the women's restroom next to the men's room when the shooting started. ''I heard the tap-tap-tap, tap-tap-tap,'' Ms. Durrett said. She ran outside and saw a school security guard dragging himself along the ground using a food cart as a shield, unable to use his foot. ''A few minutes later I saw Andy taken away in handcuffs,'' she said. ''I never thought Andy would do this. He was nice and funny. I never saw him get picked on.''

Another student, a 13-year-old who dated Mr. Williams for a month last year, also said, ''Andy is real nice.'' The girl, whose mother would not let a reporter use her name, added: ''He's very popular. I hung out with him and we talked about normal kid stuff. He wore the same goofy yellow shirt every day. He was just over at my house Saturday night.''

Friends and neighbors said Mr. Williams, whose parents are divorced, had moved here about a year ago from Maryland with his father, Charles Jeffrey Williams, who is known as Jeff. His mother, Linda Wells, lives in South Carolina, and when told by a reporter today that her son was in custody in the killings, she burst into sobs.

Advertisement Continue reading the main story

Ms. Wells said her son was a normal, good-natured boy.

The authorities said tonight that they believed the shootings had been indiscriminate and that no victims had been singled out. Officials said he stopped at least once to reload.

Though at least one of the victims had a Hispanic surname and though some students said the overwhelmingly white school had been the scene of some racial tension, Sheriff William Kolender and other officials discounted any suggestion that the shootings had any racial motivation.

Christopher Reynolds, whose girlfriend, Karen Stevens, is the mother of one of Andy Williams's closest friends, told CNN that Mr. Williams had been ''picked on a bit'' but was sociable. Mr. Reynolds said that some of Mr. Williams's friends said he had made some sort of veiled threat over the weekend and that perhaps a dozen of his fellow students were discussing the remarks.

Newsletter Sign Up Continue reading the main story Please verify you're not a robot by clicking the box. Invalid email address. Please re-enter. You must select a newsletter to subscribe to. Sign Up You agree to receive occasional updates and special offers for The New York Times's products and services. Thank you for subscribing. An error has occurred. Please try again later. View all New York Times newsletters.

Mr. Reynolds said that he had questioned Mr. Williams on Sunday night but that Mr. Williams denied he had any intention of violence.

''No one believed him,'' Mr. Reynolds said of Mr. Williams's supposed threats. ''Everyone can't believe he actually did it.'' He added: ''I do regret that I didn't do something. That's going to be with me for a long time.''

Jacob Bagnell, 52, an automotive technology teacher, said: ''A kid that had been shot came back to his classroom, which is right next to mine. That's how all of the news started to float back to us.

''I went out to the parking lot and grabbed kids, and got kids out of the hall and we all just went into the classroom and rolled down all the doors,'' Mr. Bagnell added. ''It's almost like we were presented with a war zone. You don't know what's going to happen, whether the shots will be fired at you or your student.''

Ali Perez, a San Diego County sheriff's deputy who was among the first on the scene, had to pause repeatedly at a news conference this afternoon to compose himself as he recalled the situation. Mr. Perez said he had shouted, ''Get out, get out get out!'' to some school employees hiding behind a food cart in a courtyard, ''and I don't realize that one of them's been shot.''

''You just can't imagine,'' he added. ''It's very difficult to describe.''

Late this afternoon, investigators searched the parking lot, peering under cars in an apparent quest for any evidence. The school will remain closed on Tuesday, with counselors available to talk to students and families at a nearby church.

Advertisement Continue reading the main story

By this evening, local television newscasts were reporting that the San Diego blood banks were out of their supplies of the O-negative blood used in trauma cases where there is no time for questions about blood type. Residents lined up at hospitals to donate blood.

Two of the wounded, Ray Serrato and Kristin Salladay, suffered chest wounds. They were listed in good condition at the University of California San Diego Medical Center.

The attack was the nation's deadliest school shooting since the April 1999 bloodbath at Columbine High outside Denver, where two teenagers killed 12 fellow students and a teacher before committing suicide.

In Washington, President Bush called the shooting ''a disgraceful act of cowardice.''

The incident today appeared to share one fundamental common trait with other similar shootings by teenagers around the country: the gunmen discussed it beforehand.

''Basically, one thing that comes out over and over, not just in school shooting cases but in nearly all homicides by teenagers, is that kids talk about it before they do it,'' said Paul Mones, a lawyer from Portland, Ore. lawyer who is the author of the book ''When a Child Kills'' (Simon & Schuster, 1991) and who served on a federal task force that examined school shootings. ''Kids want to vent their anger, their worries, their frustrations, their fantasies. They will talk about wanting to get a gun or wanting to kill somebody prior to it happening. It has an element in this discussion of gaining the acquiescence, or at least the confidence, of others when they are going to do this.'' Many adult murderers, by contrast, are highly reclusive and secretive about their intentions.

Obviously, added Mr. Mones, there are many cases in which such venting does not presage an actual attempt to kill. But in general, he said, experts who have studied these killings said the best way to prevent them from happening is to urge fellow teenagers to report such conversations if they hear them and for adults to seek help for teenagers who express murderous feelings before they are ever moved to act on them.

Hours after the shooting, Tabitha Vess, 17, a senior, clutched a teddy bear at an Arby's restaurant near the school, still shaken. Ms. Vess was late arriving at school this morning, and was just heading in when students came stampeding out.

''I grew up way too fast today,'' she said. ''I want to be a kid again.''",Santana High School
Grim Lessons at Santana High,"To the Editor:

Re ''Shooting at School Leaves 2 Dead and 13 Hurt'' (front page, March 6): President Bush called the shooting at Santana High School in Santee, Calif., ''a disgraceful act of cowardice.'' If that is the case, then we have many disgraceful acts of cowardice in a Congress that refuses to come to grips with guns and the related violence in our schools.

ROBERT L. SYMPSON

Lynbrook, N.Y., March 6, 2001",Santana High School
Grim Lessons at Santana High,"To the Editor:

Re ''Guns in Young Hands'' (editorial, March 6):

The teenager arrested in the California school shooting was disturbed, adrift and had telegraphed his troubled state to his peers.

You mention an ''early warning guide'' that President Bill Clinton directed the Justice Department to develop ''to help adults identify and reach out to troubled children.'' This problem must be discussed in terms of parental responsibility.

Guns in young hands are easily controlled by hands-on parental love. Your call for ''a fresh and urgent look at the whole subject of school violence and gun control'' is an old bromide sure to stir emotions, not to foster progress.

HUGH G. CUNNINGHAM

Vero Beach, Fla., March 6, 2001",Santana High School
Grim Lessons at Santana High,"To the Editor:

Re ''Shooting at School Leaves 2 Dead and 13 Hurt'' (front page, March 6):

It is said of individuals, and it is likely true of nations as well, that one's greatest strength is one's greatest weakness. Could it be that the root of persistent violence in the United States is its great strength, commercialism, turned to the production of violence as entertainment?

These producers are externalizing the cost of their industry to the rest of us, and it is time to tax them heavily for every bullet that is fired in the production of entertainment for commercial profit and nothing more. This would surely improve the quality of entertainment as well.

DENNIS SENTILLES

Rocheport, Mo., March 6, 2001",Santana High School
